,_id,name,followers,genres,popularity
133,17lzZA2AlOHwCwFALHttmp,2 Chainz,1168822,"['dwn trap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",85
134,6AMa1VFQ7qCi61tCRtVWXe,Jim Jones,65123,"['crunk', 'deep trap', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap music']",54
135,5pnbUBPifNnlusY8kTBivi,Jadakiss,147214,"['crunk', 'dirty south rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap music']",65
136,4pr7J7wzgObkE3DD3Izi7q,Young Buck,109165,"['crunk', 'deep southern trap', 'deep trap', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'west coast trap']",58
137,5OrB6Jhhrl9y2PK0pSV4VP,Young Money,307949,"['crunk', 'dance pop', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",64
138,0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,119801,"['crunk', 'deep trap', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'west coast trap']",62
139,6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON,603126,"['folk-pop', 'indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'neo mellow', 'pop', 'pop rock', 'shimmer pop']",69
140,5nCi3BB41mBaMH9gfr6Su0,fun.,2716648,"['folk-pop', 'indie christmas', 'indie pop', 'metropopolis', 'neo mellow', 'pop', 'pop punk', 'pop rock']",67
141,0RpddSzUHfncUWNJXKOsjy,Neon Trees,466562,"['emo', 'folk-pop', 'indie pop', 'neo mellow', 'pop', 'pop punk', 'pop rock']",62
142,0MlOPi3zIDMVrfA9R04Fe3,American Authors,291357,"['brooklyn indie', 'indie poptimism', 'neo mellow', 'pop', 'pop rock']",64
